Date,Open,High,Low,Close,Volume,FiveMVA,FIfteenMVA,Signal,ActiveValue,ActiveReturn,PassiveValue,PassiveReturn
7/14/2022,110.24,111.18,107.58,110.63,51163100,,,,100000,0,100000,0
7/15/2022,112.5,115.59,111.59,113.55,84317800,,,,100000,0,102639.43,0.03
7/18/2022,115,117.24,113.15,113.76,59115400,,,,100000,0,102829.26,0.03
7/19/2022,115.7,118.95,114.03,118.21,60990000,,,,100000,0,106851.67,0.07
7/20/2022,118.62,123.48,118.32,122.77,71268300,,,,100000,0,110973.52,0.11
7/21/2022,123.2,124.85,121.26,124.63,60239900,115.7839996,,,100000,0,112654.8,0.13
7/22/2022,125.01,125.5,121.35,122.42,51463800,118.5839996,,,100000,0,110657.15,0.11
7/25/2022,122.7,123.64,120.03,121.14,50221300,120.3579986,,,100000,0,109500.14,0.1
7/26/2022,115.79,118.15,114.53,114.81,67075100,121.833998,,,100000,0,103778.36,0.04
7/27/2022,117.31,121.9,117.16,120.97,61582000,121.1539978,,,100000,0,109346.47,0.09
7/28/2022,121.57,122.84,118.08,122.28,82245500,120.7939986,,,100000,0,110530.6,0.11
7/29/2022,134.9,137.65,132.41,134.95,148892900,120.323999,,,100000,0,121983.19,0.22
8/1/2022,134.96,138.83,133.51,135.39,76846900,122.8299988,,,100000,0,122380.91,0.22
8/2/2022,134.72,137.44,134.09,134.16,61922400,125.6799988,,,100000,0,121269.1,0.21
8/3/2022,136.21,140.49,136.05,139.52,71827800,129.55,,,100000,0,126114.08,0.26
8/4/2022,140.58,143.56,139.55,142.57,70585000,133.2600006,123.2793329,,100000,0,128871.02,0.29
8/5/2022,140.1,142.86,139.6,140.8,50686900,137.3180022,125.4086669,,100000,0,127271.09,0.27
8/8/2022,142.05,144.23,138.29,139.41,52229000,138.4880034,127.2253336,,100000,0,126014.65,0.26
8/9/2022,138.05,138.95,136.21,137.83,40434700,139.2920044,128.9353337,,100000,0,124586.46,0.25
8/10/2022,142.9,144.6,141.01,142.69,54773800,140.026004,130.2433339,,100000,0,128979.49,0.29
8/11/2022,143.86,144.49,139.76,140.64,44867300,140.6600036,131.5713343,,100000,0,127126.46,0.27
8/12/2022,142.05,143.57,140.12,143.55,47643500,140.274002,132.6386677,,100000,0,129756.85,0.3
8/15/2022,142.8,143.76,141.49,143.18,39014600,140.824002,134.0473347,,100000,0,129422.4,0.29
8/16/2022,143.91,146.57,142,144.78,59102900,141.5779998,135.5166677,,100000,0,130868.66,0.31
8/17/2022,142.69,143.38,140.78,142.1,48149800,142.9679992,137.5146677,,100000,0,128446.18,0.28
8/18/2022,141.32,142.77,140.38,142.3,37458700,142.85,138.9233347,,100000,0,128626.96,0.29
8/19/2022,140.47,141.11,137.91,138.23,47792800,143.1820008,140.2580017,,100000,0,124948.02,0.25
8/22/2022,135.72,136.32,132.85,133.22,50461500,142.1179994,140.4766683,,100000,0,120419.42,0.2
8/23/2022,133.41,134.99,132.95,133.62,36252100,140.126001,140.3320017,Sell,100000,0,120780.98,0.21
8/24/2022,132.75,135.47,132.1,133.8,38627000,137.8940002,140.2960011,,100000,0,120943.69,0.21
8/25/2022,135.26,137.42,134.28,137.28,37496300,136.2339996,139.9146677,,100000,0,124089.31,0.24
8/26/2022,136.55,137.83,130.5,130.75,53322700,135.2299988,139.5620005,,100000,0,118186.75,0.18
8/29/2022,129.9,131.95,128.77,129.79,48101600,133.7339996,138.8920003,,100000,0,117318.99,0.17
8/30/2022,131.25,132.07,126.85,128.73,49203000,133.047998,138.2506663,,100000,0,116360.84,0.16
8/31/2022,129.45,130.59,126.74,126.77,53648700,132.0699982,137.6439992,,100000,0,114589.17,0.15
9/1/2022,126,128.02,123.66,127.82,56636100,130.663997,136.5826655,,100000,0,115538.28,0.16
9/2/2022,129.5,131.38,126.39,127.51,57429800,128.7719972,135.7279989,,100000,0,115258.07,0.15
9/6/2022,127.92,128.62,124.74,126.11,43888600,128.1239976,134.6586655,,100000,0,113992.59,0.14
9/7/2022,126.12,129.82,125.4,129.48,47900300,127.3879992,133.5206661,,100000,0,117038.78,0.17
9/8/2022,127.72,130.28,127.1,129.82,43988500,127.5379992,132.5006659,,100000,0,117346.12,0.17
9/9/2022,130.91,133.69,130.76,133.27,49387600,128.1480012,131.6819993,,100000,0,120464.62,0.2
9/12/2022,134.1,136.49,134,136.45,53826900,129.238002,131.0799993,,100000,0,123339.06,0.23
9/13/2022,131.01,131.4,126.27,126.82,72694000,131.026001,130.9613327,Buy,100000,0,114634.37,0.15
9/14/2022,127.36,128.84,126.33,128.55,45316800,131.1680008,130.534666,,101364.14,0.01,116198.14,0.16
9/15/2022,127.38,130.37,125.5,126.28,52887200,130.9820022,130.1966665,,99574.2,0,114146.26,0.14
9/16/2022,122.78,123.87,120.7,123.53,115667800,130.2740006,129.6953329,,97405.77,-0.03,111660.49,0.12
9/19/2022,122.16,124.71,121.8,124.66,47279700,128.3259996,128.7786663,Sell,98296.8,-0.02,112681.92,0.13
9/20/2022,123.35,124.4,121.14,122.19,47698400,125.968001,128.3726665,,98296.8,-0.02,110449.25,0.1
9/21/2022,122.49,123.76,118.45,118.54,58498900,125.0420014,127.8660005,,98296.8,-0.02,107149.96,0.07
9/22/2022,117.08,118.79,116.26,117.31,55229200,123.040001,127.1866675,,98296.8,-0.02,106038.15,0.06
9/23/2022,116,116.05,112.06,113.78,65126700,121.2460008,126.5560009,,98296.8,-0.02,102847.33,0.03
9/26/2022,113.3,117.34,113.13,115.15,62723300,119.2960008,125.6200008,,98296.8,-0.02,104085.7,0.04
9/27/2022,117.2,118.32,113.05,114.41,60094700,117.3940004,124.7960008,,98296.8,-0.02,103416.8,0.03
9/28/2022,114.38,118.7,113.8,118.01,55763800,115.8380008,124.016001,,98296.8,-0.02,106670.89,0.07
9/29/2022,115.6,116.07,113.06,114.8,58969700,115.732001,123.2513347,,98296.8,-0.02,103769.33,0.04
9/30/2022,114.08,116.92,112.84,113,59479600,115.230002,122.2500011,,98296.8,-0.02,102142.28,0.02
10/3/2022,113.58,116.91,112.45,115.88,50941900,115.0740022,120.8986675,,98296.8,-0.02,104745.55,0.05
10/4/2022,119.89,123,119.79,121.09,62812600,115.2200012,119.5273342,,98296.8,-0.02,109454.94,0.09
10/5/2022,118.58,121.75,117.69,120.95,48217500,116.5559996,119.1453339,,98296.8,-0.02,109328.39,0.09
10/6/2022,120.77,121.53,119.5,120.3,42253800,117.1439986,118.6386669,,98296.8,-0.02,108740.85,0.09
10/7/2022,118,118.17,113.88,114.56,54678000,118.2439986,118.2400005,Buy,98296.8,-0.02,103552.38,0.04
10/10/2022,115.1,116.25,112.43,113.67,42339700,118.5559982,117.6420004,,97533.15,-0.02,102747.9,0.03
10/11/2022,112.71,115.48,110.39,112.21,56432200,118.1139984,116.9093333,,96280.41,-0.04,101428.19,0.01
10/12/2022,112.49,113.83,111.4,112.9,45728700,116.337999,116.2439998,,96872.46,-0.03,102051.89,0.02
10/13/2022,107.88,113.44,105.35,112.53,86868100,114.728,115.8679999,Sell,96554.99,-0.03,101717.44,0.02
10/14/2022,114.1,114.96,106.6,106.9,67737300,113.1739992,115.5493333,,96554.99,-0.03,96628.41,-0.03
10/17/2022,110.11,114.19,110.09,113.79,62782000,111.642,115.0906668,,96554.99,-0.03,102856.37,0.03
10/18/2022,119.06,119.52,114.79,116.36,65607400,111.6660006,115.0000001,,96554.99,-0.03,105179.43,0.05
10/19/2022,114.71,116.59,113.22,115.07,47198100,112.496001,115.1299999,,96554.99,-0.03,104013.38,0.04
10/20/2022,113.83,118.24,113.51,115.25,48795100,112.9300006,114.9339997,,96554.99,-0.03,104176.09,0.04
10/21/2022,114.79,119.59,114.5,119.32,55660500,113.4740008,114.9639995,,96554.99,-0.03,107855.02,0.08
10/24/2022,119.98,120.39,116.57,119.82,49531500,115.9580004,115.3853329,Buy,96554.99,-0.03,108306.97,0.08
10/25/2022,119.65,121.32,118.95,120.6,50934600,117.1640002,115.6479997,,97183.53,-0.03,109012.02,0.09
10/26/2022,116,119.35,114.76,115.66,68802300,118.0119996,115.6153332,,93202.72,-0.07,104546.69,0.05
10/27/2022,113.92,114.12,109.77,110.96,129605400,118.1300004,115.262667,,89415.3,-0.11,100298.29,0
10/28/2022,97.91,103.96,97.66,103.41,223133400,117.2720002,114.6400001,,83331.26,-0.17,93473.75,-0.07
10/31/2022,103.56,104.87,100.74,102.44,99251400,114.090001,113.8966671,,82549.6,-0.17,92596.95,-0.07
11/1/2022,103.99,104.58,96.06,96.79,153370000,110.6140014,113.1480007,Sell,77996.64,-0.22,87489.83,-0.13
11/2/2022,97.32,97.74,92.01,92.12,135761800,105.852002,112.1200009,,77996.64,-0.22,83268.56,-0.17
11/3/2022,92.47,93.5,89.02,89.3,136683300,101.1440018,110.7346676,,77996.64,-0.22,80719.52,-0.19
11/4/2022,91.49,92.44,88.04,90.98,129101300,96.8120026,109.1860012,,77996.64,-0.22,82238.1,-0.18
11/7/2022,91.95,92.1,89.04,90.53,77495700,94.3260024,108.1246679,,77996.64,-0.22,81831.33,-0.18
11/8/2022,90.79,91.72,88.23,89.98,88703400,91.9440018,106.5740011,,77996.64,-0.22,81334.18,-0.19
11/9/2022,89.47,89.48,85.87,86.14,90796200,90.5820022,104.8153346,,77996.64,-0.22,77863.15,-0.22
11/10/2022,92.94,98.69,91.65,96.63,173414900,89.3860014,102.8866679,,77996.64,-0.22,87345.2,-0.13
11/11/2022,97.88,101.19,96.66,100.79,111590500,90.8520002,101.6453343,,77996.64,-0.22,91105.49,-0.09
11/14/2022,98.77,100.12,97.29,98.49,99533100,92.8139998,100.4100011,,77996.64,-0.22,89026.49,-0.11
11/15/2022,103.21,103.79,97.34,98.94,111336300,94.4059996,98.98800093,,77996.64,-0.22,89433.25,-0.11
11/16/2022,96.85,98.49,95.54,97.12,87958800,96.1979994,97.5440012,,77996.64,-0.22,87788.13,-0.12
11/17/2022,95.37,96.97,94.03,94.85,82617900,98.3940002,96.30800113,Buy,77996.64,-0.22,85736.24,-0.14
11/18/2022,95.95,95.99,92.48,94.14,72428200,98.0380004,95.23400107,,77412.79,-0.23,85094.46,-0.15
11/21/2022,93.97,95.02,90.59,92.46,84330300,96.708,94.61600073,,76031.3,-0.24,83575.88,-0.16
11/22/2022,92.62,93.35,90.87,93.2,62192000,95.5020002,93.9506672,,76639.82,-0.23,84244.78,-0.16
11/23/2022,93.24,94.58,92.83,94.13,59414700,94.3539992,93.7113336,,77404.57,-0.23,85085.42,-0.15
11/25/2022,93.79,94.43,93.07,93.41,35088600,93.755998,93.8453332,Sell,76812.51,-0.23,84434.61,-0.16
11/28/2022,93.93,96.4,93.43,93.95,74943100,93.4679992,94.11933327,,76812.51,-0.23,84922.71,-0.15
11/29/2022,94.04,94.41,91.44,92.42,65567300,93.4299988,94.31733287,,76812.51,-0.23,83539.73,-0.16
11/30/2022,92.47,96.54,91.53,96.54,102805800,93.4219986,94.4433328,,76812.51,-0.23,87263.86,-0.13
12/1/2022,96.99,97.23,94.92,95.5,68488000,94.0899994,94.880666,,76812.51,-0.23,86323.78,-0.14
12/2/2022,94.48,95.36,93.78,94.13,72496400,94.364,95.50466607,,76812.51,-0.23,85085.42,-0.15
12/5/2022,93.05,94.06,90.82,91.01,71535500,94.5079986,95.3379994,,76812.51,-0.23,82265.21,-0.18
12/6/2022,90.5,91.04,87.9,88.25,75503600,93.9199996,94.68599947,,76812.51,-0.23,79770.41,-0.2
12/7/2022,88.34,89.89,87.48,88.46,68086900,93.086,94.00333293,,76812.51,-0.23,79960.23,-0.2
12/8/2022,89.24,90.86,87.88,90.35,73305900,91.4699996,93.30466607,,76812.51,-0.23,81668.63,-0.18
12/9/2022,88.9,90.3,88.63,89.09,67398500,90.4399992,92.8533324,,76812.51,-0.23,80529.69,-0.19
12/12/2022,89.21,90.58,87.87,90.55,61999800,89.431999,92.46933227,,76812.51,-0.23,81849.41,-0.18
12/13/2022,95.23,96.25,90.52,92.49,100212000,89.3399992,92.2299992,,76812.51,-0.23,83603,-0.16
12/14/2022,92.5,93.46,89.87,91.58,70298000,90.1879988,92.23199913,,76812.51,-0.23,82780.44,-0.17
12/15/2022,89.89,89.97,87.47,88.45,84802900,90.8119994,92.12399947,,76812.51,-0.23,79951.19,-0.2
12/16/2022,88.27,89.35,86.73,87.86,146144100,90.4319992,91.7453328,,76812.51,-0.23,79417.88,-0.21
12/19/2022,87.51,87.63,84.51,84.92,83531500,90.1860002,91.3753326,,76812.51,-0.23,76760.37,-0.23
12/20/2022,85.33,86.61,84.33,85.19,74348300,89.0599992,90.77333267,,76812.51,-0.23,77004.43,-0.23
12/21/2022,86.18,87.23,85.21,86.77,59267200,87.6,90.29133293,,76812.51,-0.23,78432.61,-0.22
12/22/2022,85.52,85.68,82.25,83.79,81431300,86.637999,89.63999933,,76812.51,-0.23,75738.95,-0.24
12/23/2022,83.25,85.78,82.93,85.25,57433700,85.7059998,88.85933273,,76812.51,-0.23,77058.67,-0.23
12/27/2022,84.97,85.35,83,83.04,57284000,85.1839996,88.26733293,,76812.51,-0.23,75061.02,-0.25
12/28/2022,82.8,83.48,81.69,81.82,58228600,84.8080002,87.73599953,,76812.51,-0.23,73958.24,-0.26
12/29/2022,82.87,84.55,82.55,84.18,54995900,84.1339998,87.30733287,,76812.51,-0.23,76091.48,-0.24
12/30/2022,83.12,84.05,82.47,84,62401200,83.6160004,87.0219996,,76812.51,-0.23,75928.77,-0.24
1/3/2023,85.46,86.96,84.21,85.82,76706000,83.6580002,86.5986664,,76812.51,-0.23,77573.9,-0.22
1/4/2023,86.55,86.98,83.36,85.14,68885100,83.7720002,86.38066667,,76812.51,-0.23,76959.23,-0.23
1/5/2023,85.33,85.42,83.07,83.12,67930800,84.1919998,86.01999973,,76812.51,-0.23,75133.33,-0.25
1/6/2023,83.03,86.4,81.43,86.08,83303400,84.4520004,85.3953334,,76812.51,-0.23,77808.92,-0.22
1/9/2023,87.46,89.48,87.08,87.36,65266100,84.8320008,85.02866673,,76812.51,-0.23,78965.93,-0.21
1/10/2023,87.57,90.19,87.29,89.87,67756600,85.504001,84.95600033,Buy,76812.51,-0.23,81234.75,-0.19
1/11/2023,90.93,95.26,90.93,95.09,103126200,86.3140016,85.09000047,,81274.07,-0.19,85953.18,-0.14
